home_elo,away_elo,elo_diff,home_rank,away_rank,rank_diff,neutral,is_competitive,home_form,away_form,form_diff,home_attack_strength,away_attack_strength,home_defense_strength,away_defense_strength,elite_score_diff,adjusted_strength_diff,target
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1
2020.0,1767.0,253.0,4.0,29.0,25.0,0,0,3.0,0.0,3.0,4.0,2.0,2.0,4.0,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,0,2.0,0.5,1.5,1.0,0.5,0.5,1.0,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,0,2.0,0.5,1.5,3.0,2.0,2.0,3.0,0,0,1
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,0,2.3333333333333335,0.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.6666666666666667,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,0,1.3333333333333333,1.3333333333333333,0.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,0,2.6,0.25,2.35,3.2,0.75,0.6,3.0,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,0,2.0,1.4,0.6000000000000001,2.8,2.6,2.4,2.4,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,0,3.0,0.2,2.8,5.6,1.4,1.2,3.4,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,0,1.2,2.4,-1.2,1.8,3.6,3.0,1.4,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,0,3.0,1.2,1.8,6.2,4.6,1.6,3.8,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,0,1.2,2.4,-1.2,3.0,4.2,2.0,1.8,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,3.0,1.2,1.8,4.2,5.0,1.2,2.4,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,1.6,2.6,-1.0,3.0,3.4,1.0,0.8,0,0,1
1721.0,1784.0,-63.0,41.0,25.0,-16.0,0,0,0.0,3.0,-3.0,0.0,1.0,1.0,0.0,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.6,2.0,0.6000000000000001,3.8,3.8,0.8,0.8,0,0,1
1721.0,1784.0,-63.0,41.0,25.0,-16.0,0,0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,1.6,2.6,-1.0,3.0,4.8,1.0,1.2,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.0,2.6,-0.6000000000000001,2.8,3.8,1.8,0.6,0,0,0
1767.0,1784.0,-17.0,29.0,25.0,-4.0,0,0,2.4,1.0,1.4,3.4,1.0,1.6,2.3333333333333335,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,1.8,3.0,-1.2,3.8,5.0,1.8,1.6,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.0,2.6,-0.6000000000000001,3.4,4.6,1.2,0.8,0,0,1
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.4,2.0,0.3999999999999999,4.0,2.4,1.4,1.6,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.0,2.6,-0.6000000000000001,3.0,2.4,1.4,0.6,0,0,0
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,3.0,1.8,1.2,5.0,3.6,1.0,2.4,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.0,2.2,-0.20000000000000018,4.0,3.0,2.0,1.2,0,0,1
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.6,1.4,1.2000000000000002,4.8,2.8,0.6,2.2,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.6,2.0,0.6000000000000001,3.2,3.8,1.2,1.2,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.0,1.2,0.8,3.0,1.8,0.6,2.2,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.4,2.4,0.0,3.4,3.8,1.4,1.2,0,0,0
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.4,2.0,0.3999999999999999,4.8,2.8,1.0,1.0,0,0,2
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,2.4,2.0,0.3999999999999999,4.8,2.0,1.8,1.2,0,0,2
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.6,1.6,1.0,3.4,2.6,0.6,1.0,0,0,1
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,2.2,1.8,0.40000000000000013,3.0,2.6,1.0,1.2,0,0,1
1892.0,2113.0,-221.0,15.0,2.0,-13.0,0,0,0.0,3.0,-3.0,0.0,6.0,6.0,0.0,0,0,0
2020.0,1767.0,253.0,4.0,29.0,25.0,0,1,1.6,2.2,-0.6000000000000001,2.2,2.4,1.4,1.2,0,0,0
2113.0,1892.0,221.0,2.0,15.0,13.0,0,0,0.0,3.0,-3.0,2.0,3.0,3.0,2.0,0,0,0
1767.0,2020.0,-253.0,29.0,4.0,-25.0,0,1,1.4,2.2,-0.8000000000000003,3.4,1.4,1.0,0.6,0,0,0
