team,matches_played,wins,win_pct,avg_goals_scored,avg_goals_conceded,elite_wins,world_cup_upsets,adjusted_strength
France,55,30,0.545,1.6,0.964,14,3,155.36
Argentina,52,31,0.596,1.385,0.712,5,3,99.75
Spain,46,22,0.478,2.13,1.087,10,0,98.67
Belgium,36,18,0.5,1.556,1.111,5,3,81.79
Croatia,47,16,0.34,1.34,1.404,6,2,66.35
Portugal,46,21,0.457,1.848,1.109,5,0,66.15
England,42,19,0.452,1.619,0.929,5,0,63.45
Uruguay,45,17,0.378,1.156,0.956,3,3,59.7
Netherlands,39,16,0.41,1.744,1.385,4,0,53.75
Brazil,49,28,0.571,1.551,0.633,2,0,53.43
Colombia,45,15,0.333,1.178,0.911,3,2,52.57
Japan,39,18,0.462,1.41,1.051,3,2,51.98
Denmark,36,13,0.361,1.167,1.083,4,0,43.66
South Korea,21,9,0.429,1.143,0.952,2,2,42.94
Mexico,36,20,0.556,1.278,0.583,1,1,41.92
Morocco,22,11,0.5,1.136,0.591,1,1,40.96
Germany,31,7,0.226,1.29,1.677,3,0,29.01
Ecuador,40,10,0.25,0.875,0.85,1,1,27.59
Tunisia,22,8,0.364,1.0,0.909,1,1,27.14
Switzerland,38,9,0.237,1.316,1.632,2,0,25.41
Nigeria,19,9,0.474,1.263,0.895,0,0,23.38
Saudi Arabia,27,8,0.296,0.704,0.963,1,1,20.95
Turkey,17,5,0.294,1.176,2.0,3,1,20.82
Algeria,16,7,0.438,1.125,0.875,0,0,20.48
Iran,30,12,0.4,1.033,0.9,0,0,20.47
Qatar,35,13,0.371,1.286,1.514,0,0,17.55
Ukraine,28,8,0.286,1.143,1.75,2,0,17.51
Canada,27,9,0.333,1.148,1.148,0,0,17.51
Australia,26,9,0.346,0.846,0.923,0,0,15.28
Serbia,27,4,0.148,0.889,1.667,1,1,14.58
Senegal,19,7,0.368,0.842,1.0,0,0,13.1
Austria,22,4,0.182,0.818,1.409,2,0,12.64
Cameroon,16,3,0.188,0.75,1.375,1,1,12.36
Czech Republic,27,5,0.185,0.963,1.704,2,0,12.19
Panama,36,11,0.306,1.083,1.556,0,0,11.27
Iraq,26,8,0.308,0.808,1.154,0,0,10.33
Egypt,24,5,0.208,0.708,0.917,0,0,9.4
Ivory Coast,15,3,0.2,0.8,0.867,0,0,8.4
Uzbekistan,19,3,0.158,0.895,0.947,0,0,8.11
New Zealand,12,2,0.167,0.583,0.917,0,0,4.2
United Arab Emirates,29,4,0.138,0.793,1.483,0,0,2.11
Poland,31,3,0.097,0.903,1.806,0,0,1.0
Peru,40,7,0.175,0.575,1.425,0,0,1.0
Ghana,16,1,0.062,0.688,1.25,0,0,1.0
Costa Rica,31,6,0.194,0.516,1.419,0,0,1.0
Chile,39,4,0.103,0.564,1.41,0,0,1.0
Jamaica,21,3,0.143,0.857,1.905,0,0,1.0
