date,match_number,group,stadium,date_dt
"Thursday, 11 June 2026",Match 1,Group A,Mexico City Stadium,2026-06-11
"Thursday, 11 June 2026",Match 2,Group A,Estadio Guadalajara,2026-06-11
"Friday, 12 June 2026",Match 3,Group B,Toronto Stadium,2026-06-12
"Friday, 12 June 2026",Match 4,Group D,Los Angeles Stadium,2026-06-12
"Saturday, 13 June 2026",Match 5,Group C,Boston Stadium,2026-06-13
"Saturday, 13 June 2026",Match 6,Group D,BC Place Vancouver,2026-06-13
"Saturday, 13 June 2026",Match 7,Group C,New York New Jersey Stadium,2026-06-13
"Saturday, 13 June 2026",Match 8,Group B,San Francisco Bay Area Stadium,2026-06-13
"Sunday, 14 June 2026",Match 9,Group E,Philadelphia Stadium,2026-06-14
"Sunday, 14 June 2026",Match 10,Group E,Houston Stadium,2026-06-14
"Sunday, 14 June 2026",Match 11,Group F,Dallas Stadium,2026-06-14
"Sunday, 14 June 2026",Match 12,Group F,Estadio Monterrey,2026-06-14
"Monday, 15 June 2026",Match 13,Group H,Miami Stadium,2026-06-15
"Monday, 15 June 2026",Match 14,Group H,Atlanta Stadium,2026-06-15
"Monday, 15 June 2026",Match 15,Group G,Los Angeles Stadium,2026-06-15
"Monday, 15 June 2026",Match 16,Group G,Seattle Stadium,2026-06-15
"Tuesday, 16 June 2026",Match 17,Group I,New York New Jersey Stadium,2026-06-16
"Tuesday, 16 June 2026",Match 18,Group I,Boston Stadium,2026-06-16
"Tuesday, 16 June 2026",Match 19,Group J,Kansas City Stadium,2026-06-16
"Tuesday, 16 June 2026",Match 20,Group J,San Francisco Bay Area Stadium,2026-06-16
"Wednesday, 17 June 2026",Match 21,Group L,Toronto Stadium,2026-06-17
"Wednesday, 17 June 2026",Match 22,Group L,Dallas Stadium,2026-06-17
"Wednesday, 17 June 2026",Match 23,Group K,Houston Stadium,2026-06-17
"Wednesday, 17 June 2026",Match 24,Group K,Mexico City Stadium,2026-06-17
"Thursday, 18 June 2026",Match 25,Group A,Atlanta Stadium,2026-06-18
"Thursday, 18 June 2026",Match 26,Group B,Los Angeles Stadium,2026-06-18
"Thursday, 18 June 2026",Match 27,Group B,BC Place Vancouver,2026-06-18
"Thursday, 18 June 2026",Match 28,Group A,Estadio Guadalajara,2026-06-18
"Friday, 19 June 2026",Match 29,Group C,Philadelphia Stadium,2026-06-19
"Friday, 19 June 2026",Match 30,Group C,Boston Stadium,2026-06-19
"Friday, 19 June 2026",Match 31,Group D,San Francisco Bay Area Stadium,2026-06-19
"Friday, 19 June 2026",Match 32,Group D,Seattle Stadium,2026-06-19
"Saturday, 20 June 2026",Match 33,Group E,Toronto Stadium,2026-06-20
"Saturday, 20 June 2026",Match 34,Group E,Kansas City Stadium,2026-06-20
"Saturday, 20 June 2026",Match 35,Group F,Houston Stadium,2026-06-20
"Saturday, 20 June 2026",Match 36,Group F,Estadio Monterrey,2026-06-20
"Sunday, 21 June 2026",Match 37,Group H,Miami Stadium,2026-06-21
"Sunday, 21 June 2026",Match 38,Group H,Atlanta Stadium,2026-06-21
