date,match_number,teams,group,stadium,date_dt
"Thursday, 11 June 2026",Match 1,Mexico v South Africa,Group A,Mexico City Stadium,2026-06-11
"Thursday, 11 June 2026",Match 2,Korea Republic v Czechia/Denmark/North Macedonia/Republic of Ireland,Group A,Estadio Guadalajara,2026-06-11
"Friday, 12 June 2026",Match 3,Canada v Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Group B,Toronto Stadium,2026-06-12
"Friday, 12 June 2026",Match 4,USA v Paraguay,Group D,Los Angeles Stadium,2026-06-12
"Saturday, 13 June 2026",Match 5,Haiti v Scotland,Group C,Boston Stadium,2026-06-13
"Saturday, 13 June 2026",Match 6,Australia v Kosovo/Romania/Slovakia/Türkiye,Group D,BC Place Vancouver,2026-06-13
"Saturday, 13 June 2026",Match 7,Brazil v Morocco,Group C,New York New Jersey Stadium,2026-06-13
"Saturday, 13 June 2026",Match 8,Qatar v Switzerland,Group B,San Francisco Bay Area Stadium,2026-06-13
"Sunday, 14 June 2026",Match 9,Côte d'Ivoire v Ecuador,Group E,Philadelphia Stadium,2026-06-14
"Sunday, 14 June 2026",Match 10,Germany v Curaçao,Group E,Houston Stadium,2026-06-14
"Sunday, 14 June 2026",Match 11,Netherlands v Japan,Group F,Dallas Stadium,2026-06-14
"Sunday, 14 June 2026",Match 12,Albania/Poland/Sweden/Ukraine v Tunisia,Group F,Estadio Monterrey,2026-06-14
"Monday, 15 June 2026",Match 13,Saudi Arabia v Uruguay,Group H,Miami Stadium,2026-06-15
"Monday, 15 June 2026",Match 14,Spain v Cabo Verde,Group H,Atlanta Stadium,2026-06-15
"Monday, 15 June 2026",Match 15,IR Iran v New Zealand,Group G,Los Angeles Stadium,2026-06-15
"Monday, 15 June 2026",Match 16,Belgium v Egypt,Group G,Seattle Stadium,2026-06-15
"Tuesday, 16 June 2026",Match 17,France v Senegal,Group I,New York New Jersey Stadium,2026-06-16
"Tuesday, 16 June 2026",Match 18,Bolivia/Iraq/Suriname v Norway,Group I,Boston Stadium,2026-06-16
"Tuesday, 16 June 2026",Match 19,Argentina v Algeria,Group J,Kansas City Stadium,2026-06-16
"Tuesday, 16 June 2026",Match 20,Austria v Jordan,Group J,San Francisco Bay Area Stadium,2026-06-16
"Wednesday, 17 June 2026",Match 21,Ghana v Panama,Group L,Toronto Stadium,2026-06-17
"Wednesday, 17 June 2026",Match 22,England v Croatia,Group L,Dallas Stadium,2026-06-17
"Wednesday, 17 June 2026",Match 23,Portugal v Congo DR/Jamaica/New Caledonia,Group K,Houston Stadium,2026-06-17
"Wednesday, 17 June 2026",Match 24,Uzbekistan v Colombia,Group K,Mexico City Stadium,2026-06-17
"Thursday, 18 June 2026",Match 25,Czechia/Denmark/North Macedonia/Republic of Ireland v South Africa,Group A,Atlanta Stadium,2026-06-18
"Thursday, 18 June 2026",Match 26,Switzerland v Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Group B,Los Angeles Stadium,2026-06-18
"Thursday, 18 June 2026",Match 27,Canada v Qatar,Group B,BC Place Vancouver,2026-06-18
"Thursday, 18 June 2026",Match 28,Mexico v Korea Republic,Group A,Estadio Guadalajara,2026-06-18
"Friday, 19 June 2026",Match 29,Brazil v Haiti,Group C,Philadelphia Stadium,2026-06-19
"Friday, 19 June 2026",Match 30,Scotland v Morocco,Group C,Boston Stadium,2026-06-19
"Friday, 19 June 2026",Match 31,Kosovo/Romania/Slovakia/Türkiye v Paraguay,Group D,San Francisco Bay Area Stadium,2026-06-19
"Friday, 19 June 2026",Match 32,USA v Australia,Group D,Seattle Stadium,2026-06-19
"Saturday, 20 June 2026",Match 33,Germany v Côte d'Ivoire,Group E,Toronto Stadium,2026-06-20
"Saturday, 20 June 2026",Match 34,Ecuador v Curaçao,Group E,Kansas City Stadium,2026-06-20
"Saturday, 20 June 2026",Match 35,Netherlands v Albania/Poland/Sweden/Ukraine,Group F,Houston Stadium,2026-06-20
"Saturday, 20 June 2026",Match 36,Tunisia v Japan,Group F,Estadio Monterrey,2026-06-20
"Sunday, 21 June 2026",Match 37,Uruguay v Cabo Verde,Group H,Miami Stadium,2026-06-21
"Sunday, 21 June 2026",Match 38,Spain v Saudi Arabia,Group H,Atlanta Stadium,2026-06-21
