team,avg_goals_scored,adjusted_strength
Spain,2.13,98.67
Portugal,1.848,66.15
Netherlands,1.744,53.75
England,1.619,63.45
France,1.6,155.36
Belgium,1.556,81.79
Brazil,1.551,53.43
Japan,1.41,51.98
Argentina,1.385,99.75
Croatia,1.34,66.35
Switzerland,1.316,25.41
Germany,1.29,29.01
Qatar,1.286,17.55
Mexico,1.278,41.92
Nigeria,1.263,23.38
Colombia,1.178,52.57
Turkey,1.176,20.82
Denmark,1.167,43.66
Uruguay,1.156,59.7
Canada,1.148,17.51
South Korea,1.143,42.94
Ukraine,1.143,17.51
Morocco,1.136,40.96
Algeria,1.125,20.48
Panama,1.083,11.27
Iran,1.033,20.47
Tunisia,1.0,27.14
Czech Republic,0.963,12.19
Poland,0.903,1.0
Uzbekistan,0.895,8.11
Serbia,0.889,14.58
Ecuador,0.875,27.59
Jamaica,0.857,1.0
Australia,0.846,15.28
Senegal,0.842,13.1
Austria,0.818,12.64
Iraq,0.808,10.33
Ivory Coast,0.8,8.4
United Arab Emirates,0.793,2.11
Cameroon,0.75,12.36
Egypt,0.708,9.4
Saudi Arabia,0.704,20.95
Ghana,0.688,1.0
New Zealand,0.583,4.2
Peru,0.575,1.0
Chile,0.564,1.0
Costa Rica,0.516,1.0
