team,avg_goals_conceded,adjusted_strength
Mexico,0.583,41.92
Morocco,0.591,40.96
Brazil,0.633,53.43
Argentina,0.712,99.75
Ecuador,0.85,27.59
Ivory Coast,0.867,8.4
Algeria,0.875,20.48
Nigeria,0.895,23.38
Iran,0.9,20.47
Tunisia,0.909,27.14
Colombia,0.911,52.57
Egypt,0.917,9.4
New Zealand,0.917,4.2
Australia,0.923,15.28
England,0.929,63.45
Uzbekistan,0.947,8.11
South Korea,0.952,42.94
Uruguay,0.956,59.7
Saudi Arabia,0.963,20.95
France,0.964,155.36
Senegal,1.0,13.1
Japan,1.051,51.98
Denmark,1.083,43.66
Spain,1.087,98.67
Portugal,1.109,66.15
Belgium,1.111,81.79
Canada,1.148,17.51
Iraq,1.154,10.33
Ghana,1.25,1.0
Cameroon,1.375,12.36
Netherlands,1.385,53.75
Croatia,1.404,66.35
Austria,1.409,12.64
Chile,1.41,1.0
Costa Rica,1.419,1.0
Peru,1.425,1.0
United Arab Emirates,1.483,2.11
Qatar,1.514,17.55
Panama,1.556,11.27
Switzerland,1.632,25.41
Serbia,1.667,14.58
Germany,1.677,29.01
Czech Republic,1.704,12.19
Ukraine,1.75,17.51
Poland,1.806,1.0
Jamaica,1.905,1.0
Turkey,2.0,20.82
