team,adjusted_strength,win_pct,elite_wins
France,155.36,0.545,14
Argentina,99.75,0.596,5
Spain,98.67,0.478,10
Belgium,81.79,0.5,5
Croatia,66.35,0.34,6
Portugal,66.15,0.457,5
England,63.45,0.452,5
Uruguay,59.7,0.378,3
Netherlands,53.75,0.41,4
Brazil,53.43,0.571,2
Colombia,52.57,0.333,3
Japan,51.98,0.462,3
Denmark,43.66,0.361,4
South Korea,42.94,0.429,2
Mexico,41.92,0.556,1
Morocco,40.96,0.5,1
Germany,29.01,0.226,3
Ecuador,27.59,0.25,1
Tunisia,27.14,0.364,1
Switzerland,25.41,0.237,2
Nigeria,23.38,0.474,0
Saudi Arabia,20.95,0.296,1
Turkey,20.82,0.294,3
Algeria,20.48,0.438,0
Iran,20.47,0.4,0
Qatar,17.55,0.371,0
Ukraine,17.51,0.286,2
Canada,17.51,0.333,0
Australia,15.28,0.346,0
Serbia,14.58,0.148,1
Senegal,13.1,0.368,0
Austria,12.64,0.182,2
Cameroon,12.36,0.188,1
Czech Republic,12.19,0.185,2
Panama,11.27,0.306,0
Iraq,10.33,0.308,0
Egypt,9.4,0.208,0
Ivory Coast,8.4,0.2,0
Uzbekistan,8.11,0.158,0
New Zealand,4.2,0.167,0
United Arab Emirates,2.11,0.138,0
Poland,1.0,0.097,0
Peru,1.0,0.175,0
Ghana,1.0,0.062,0
Costa Rica,1.0,0.194,0
Chile,1.0,0.103,0
Jamaica,1.0,0.143,0
