team,upset_score,elite_wins,world_cup_upsets
France,80.072,14,3
Spain,48.476,10,0
Belgium,43.558,5,3
Argentina,43.501,5,3
Croatia,39.892,6,2
Uruguay,33.868,3,3
Japan,28.948,3,2
Colombia,28.068,3,2
Portugal,27.022000000000002,5,0
England,26.237,5,0
South Korea,23.811,2,2
Netherlands,21.95,4,0
Turkey,19.88,3,1
Denmark,19.669,4,0
Mexico,15.224,1,1
Germany,15.096,3,0
Morocco,14.498,1,1
Brazil,14.488999999999999,2,0
Tunisia,13.182,1,1
Ecuador,12.675,1,1
Saudi Arabia,11.594,1,1
Switzerland,11.316,2,0
Serbia,11.111,1,1
Cameroon,11.0,1,1
Ukraine,10.215,2,0
Czech Republic,9.407,2,0
Austria,9.272,2,0
Nigeria,4.5249999999999995,0,0
Algeria,3.875,0,0
Canada,3.4439999999999995,0,0
Qatar,3.4019999999999997,0,0
Iran,3.3649999999999993,0,0
Uzbekistan,2.5809999999999995,0,0
Australia,2.3839999999999995,0,0
Panama,2.303,0,0
Ivory Coast,2.266,0,0
Senegal,2.21,0,0
Iraq,1.7320000000000002,0,0
Egypt,1.706,0,0
New Zealand,1.081,0,0
United Arab Emirates,0.9990000000000001,0,0
Ghana,0.9399999999999995,0,0
Poland,0.9030000000000005,0,0
Jamaica,0.4750000000000001,0,0
Peru,0.02499999999999991,0,0
Chile,0.0,0,0
Costa Rica,-0.258,0,0
